"RG","TG"
"PIK3R3_PIK3R2","PIK3R3","PIK3R2"
"P3R3URF.PIK3R3_PIK3R2","P3R3URF.PIK3R3","PIK3R2"
"AKT1_PIK3R2","AKT1","PIK3R2"
"AKT2_PIK3R2","AKT2","PIK3R2"
"AKT3_PIK3R2","AKT3","PIK3R2"
"CHUK_PIK3R2","CHUK","PIK3R2"
"IKBKB_PIK3R2","IKBKB","PIK3R2"
"IKBKG_PIK3R2","IKBKG","PIK3R2"
"NFKB1_PIK3R2","NFKB1","PIK3R2"
"RELA_PIK3R2","RELA","PIK3R2"
"BAD_PIK3R2","BAD","PIK3R2"
"MTOR_PIK3R2","MTOR","PIK3R2"
"EIF4EBP1_PIK3R2","EIF4EBP1","PIK3R2"
"RPS6KB1_PIK3R2","RPS6KB1","PIK3R2"
"RPS6KB2_PIK3R2","RPS6KB2","PIK3R2"
"SOS1_PIK3R2","SOS1","PIK3R2"
"SOS2_PIK3R2","SOS2","PIK3R2"
"HRAS_PIK3R2","HRAS","PIK3R2"
"BRAF_PIK3R2","BRAF","PIK3R2"
"RAF1_PIK3R2","RAF1","PIK3R2"
"MAP2K1_PIK3R2","MAP2K1","PIK3R2"
"MAP2K2_PIK3R2","MAP2K2","PIK3R2"
"STAT5A_PIK3R2","STAT5A","PIK3R2"
"STAT5B_PIK3R2","STAT5B","PIK3R2"
"PIM2_PIK3R2","PIM2","PIK3R2"
"CSF1R_PIK3R2","CSF1R","PIK3R2"
"MPO_PIK3R2","MPO","PIK3R2"
"CSF2_PIK3R2","CSF2","PIK3R2"
"RUNX1T1_PIK3R2","RUNX1T1","PIK3R2"
"ZBTB16_PIK3R2","ZBTB16","PIK3R2"
"PER2_PIK3R2","PER2","PIK3R2"
"SPI1_PIK3R2","SPI1","PIK3R2"
"CD14_PIK3R2","CD14","PIK3R2"
"ITGAM_PIK3R2","ITGAM","PIK3R2"
"FCGR1A_PIK3R2","FCGR1A","PIK3R2"
"CEBPE_PIK3R2","CEBPE","PIK3R2"
"BCL2A1_PIK3R2","BCL2A1","PIK3R2"
"CCNA2_PIK3R2","CCNA2","PIK3R2"
"CCNA1_PIK3R2","CCNA1","PIK3R2"
"MYC_PIK3R2","MYC","PIK3R2"
"TCF7L2_PIK3R2","TCF7L2","PIK3R2"
"CCND1_PIK3R2","CCND1","PIK3R2"
"PPARD_PIK3R2","PPARD","PIK3R2"
"KIT_PIK3R3","KIT","PIK3R3"
"PIK3CA_PIK3R3","PIK3CA","PIK3R3"
"PIK3R1_PIK3R3","PIK3R1","PIK3R3"
"PIK3R2_PIK3R3","PIK3R2","PIK3R3"
"P3R3URF.PIK3R3_PIK3R3","P3R3URF.PIK3R3","PIK3R3"
"AKT1_PIK3R3","AKT1","PIK3R3"
"AKT2_PIK3R3","AKT2","PIK3R3"
"AKT3_PIK3R3","AKT3","PIK3R3"
"CHUK_PIK3R3","CHUK","PIK3R3"
"IKBKB_PIK3R3","IKBKB","PIK3R3"
"IKBKG_PIK3R3","IKBKG","PIK3R3"
"NFKB1_PIK3R3","NFKB1","PIK3R3"
"RELA_PIK3R3","RELA","PIK3R3"
"MTOR_PIK3R3","MTOR","PIK3R3"
"RPS6KB1_PIK3R3","RPS6KB1","PIK3R3"
"RPS6KB2_PIK3R3","RPS6KB2","PIK3R3"
"GRB2_PIK3R3","GRB2","PIK3R3"
"SOS2_PIK3R3","SOS2","PIK3R3"
"ARAF_PIK3R3","ARAF","PIK3R3"
"RAF1_PIK3R3","RAF1","PIK3R3"
"MAP2K1_PIK3R3","MAP2K1","PIK3R3"
"MAPK3_PIK3R3","MAPK3","PIK3R3"
